favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
73968,Twitter for iPhone,"......If Republicans ever did that to the Democrats, there would be all hell to pay. It would be a scandal like no other!",realDonaldTrump,False,Sun Jun 16 20:36:12 +0000 2019,14441,1140357430095810560
58446,Twitter for iPhone,"House Democrats, fresh off a Republican victory against them (in Federal Court) on the Wall,  keep asking people to… https://t.co/VZXjIBKWwD",,False,Wed Jun 05 08:12:19 +0000 2019,13373,1136183958876692480
68154,Twitter for iPhone,...healthcare plan is on its way. Will have much lower premiums &amp; deductibles while at the same time taking care of pre-existing conditions!,,False,Sun Apr 30 12:32:50 +0000 2017,12385,858660413873025024
93058,Twitter for iPhone,“PELOSI STAMMERS THROUGH NEWS CONFERENCE” https://t.co/1OyCyqRTuk,,False,Fri May 24 01:09:33 +0000 2019,29721,1131728912835383300
105600,Twitter for iPhone,"The Senate should get funding done before the August break, or NOT GO HOME. Wall and Border Security should be incl… https://t.co/lo4MsSrbCH",,False,Sat May 12 22:20:16 +0000 2018,27658,995428472674758656
5329,Twitter for iPhone,"Dopey Mort Zuckerman, owner of the worthless @NYDailyNews, has a major inferiority complex. Paper will close soon!",,False,Wed Feb 10 12:58:39 +0000 2016,1701,697404309814800385
15652,Twitter Web Client,"On immigration, I’m consulting with our immigration officers
&amp; our wage-earners. Hillary Clinton is consulting with Wall Street.",,False,Thu Jun 23 18:48:20 +0000 2016,5636,746052286640689157
33,Twitter for Android,"""@JayLefkowitz: @realDonaldTrump @fitsnews Agreed! Romney would be a terrible candidate that could never beat Hillary. We need Trump!""",,False,Tue Jan 20 10:35:40 +0000 2015,13,557486611580325888
88088,Twitter for iPhone,40 years of corruption. 40 years of repression. 40 years of terror. The regime in Iran has produced only… https://t.co/2c8wztPNvb,,False,Mon Feb 11 19:58:03 +0000 2019,21826,1095049346201079808
1536,Twitter for Android,"""@bravehart60: 20 Reasons Why It Should Be Donald Trump in 2016 https://t.co/2JsHqNRHUu via @BreitbartNewsl""  A.J., thank you, soooo nice!",,False,Sun Oct 25 02:37:18 +0000 2015,909,658110053103325185
619,Twitter for Android,"""@brady2edelman: @realDonaldTrump Mr. Trump you are the next President of the United States. And the next President Reagan.God Bless America",,False,Mon Aug 03 03:31:48 +0000 2015,208,628045576303734784
7735,Twitter for Android,"""@free_SA_BD: @realDonaldTrump A vote for Trump is a vote to restore our great country.""",,False,Thu Jun 02 22:18:50 +0000 2016,2407,738495114532638720
114727,Twitter for iPhone,"Great unity in the Republican Party. Want to, once and for all, put an end to stoppable crime and drugs! Border Security and Wall. No doubt!",,False,Wed Jan 23 12:48:55 +0000 2019,22359,1088055980263424000
127989,Twitter for iPhone,The Paris Agreement isn’t working out so well for Paris. Protests and riots all over France. People do not want to… https://t.co/Zgn65EgKzB,,False,Sat Dec 08 12:34:04 +0000 2018,32738,1071382401954267136
43,Twitter for Android,"""@sam_tucker17: You would be the best president. You're political critiques are always on the money. You are way better than Hillary!""",,False,Wed Apr 22 00:50:02 +0000 2015,17,590678915120758787
28,Twitter for Android,"""@KiernanProud: @realDonaldTrump so excited! Best show on television. #CelebApprentice""",,False,Mon Jan 05 02:07:02 +0000 2015,12,551922792288223232
251,Twitter Web Client,Entrepreneurs: Don't tread water. Get out there and go for it.,,False,Wed Jan 28 21:19:57 +0000 2015,209,560547852339118080
47129,Twitter for iPhone,Looking like our great South Carolina could get hit MUCH harder than first thought. Georgia and North Carolina also… https://t.co/BuIfVz7paI,,False,Sat Aug 31 14:00:32 +0000 2019,10808,1167799335096131584
17,Twitter for Android,"""@KdanielsK: @misstcassidy @realDonaldTrump @AllAboutTheTea_ This season is going to be great! Can't wait!""",,False,Fri Jan 02 21:44:16 +0000 2015,5,551131887495028736
2548,Twitter for Android,Thank you @davidaxelrod for your nice words this morning on @CNN. It was a good night!,,False,Wed Dec 16 13:40:25 +0000 2015,765,677121102405984256
45471,Twitter for iPhone,"Big G7 meetings today. Lots of very important matters under discussion. First on the list, of course, is terrorism. #G7Taormina",,False,Sat May 27 09:58:37 +0000 2017,8166,868406076995235840
57,Twitter for Android,"""@MasterBaxter8: I want to see a man that's not a career politician in office. America FORGOT what a great leader can do! #fixtheUSA""",,False,Wed May 06 04:27:28 +0000 2015,39,595807064322134016
87388,Twitter for iPhone,"When there is not an underlying crime with regard to Collusion (in fact, the whole thing was a made up fraud), it i… https://t.co/uZEQGQLrXN",,False,Thu Apr 18 23:46:58 +0000 2019,20301,1119024554431713280
183,Twitter for Android,"""@LionsTrinityCap: @realDonaldTrump UNMATCHED PRESIDENTIAL CAMPAIGN...Trump RESTORES America's credit rating to AAA in 3-4 yrs.",,False,Wed Jun 24 23:40:23 +0000 2015,73,613854211940335616
4397,Twitter for Android,"Isn't it amazing that @CNN paid a fortune for an Iowa Poll, which shows me in first place over Cruz by 13%, 33% to 20% - then doesn't use it",,False,Tue Dec 15 14:47:56 +0000 2015,1710,676775704743186433
19170,Twitter for iPhone,#MakeAmericaGreatAgain! https://t.co/8rWz6p1Ged,,False,Wed Aug 10 23:24:51 +0000 2016,7650,763516489865523200
12893,Twitter for iPhone,More Anti-Catholic Emails From Team Clinton: https://t.co/KYirBbYjp2 https://t.co/f8Z7olUvlM,,False,Wed Oct 19 16:57:44 +0000 2016,8444,788786220671176704
62713,Twitter Media Studio,"Today, it was my privilege to welcome survivors of the #USSArizona to the @WhiteHouse. #HonorThem🇺🇸
Remarks:… https://t.co/DQn5sj91hZ",,False,Fri Jul 21 22:47:40 +0000 2017,13005,888530948811366400
60403,Twitter for iPhone,"Happy birthday Vince, you are truly one of the greats! https://t.co/b8zV5MfojY",,False,Sat Aug 25 03:35:21 +0000 2018,11297,1033196105159372800
1316,Twitter for Android,"""@victoryorbust: The One, The Only, Donald Trump, will and can Make America Great Again !  @Reince @blewthebigone https://t.co/5kAtLBBFJA""",,False,Thu Oct 29 15:58:51 +0000 2015,611,659761323526389760
113835,Twitter for iPhone,Jobs are kicking in and companies are coming back to the U.S. Unnecessary regulations and high taxes are being dram… https://t.co/ts9xxdjQzU,,False,Sat Dec 30 22:42:09 +0000 2017,21905,947236393184628741
102401,Twitter for iPhone,REST IN PEACE BILLY GRAHAM! https://t.co/2qMoUccVC2,,False,Fri Mar 02 19:48:19 +0000 2018,19476,969660692419657728
197205,Twitter for iPhone,So nice how well my State of the Union speech was received. Thank you to all!,,False,Fri Feb 08 00:02:51 +0000 2019,26940,1093661397769248769
108,Twitter for Android,"Wow, the final ratings for the Miss Universe Pageant show that it won in all key demos - number one on Sunday. I have a winner!",,False,Tue Jan 27 13:40:14 +0000 2015,53,560069776530485248
42959,Twitter for iPhone,"Happy Birthday @EricTrump!
https://t.co/bJaEY7qFSn",,False,Sat Jan 07 00:07:09 +0000 2017,6774,817522928862502913
49148,Twitter for iPhone,"From my first day in office, we’ve taken swift action to lift the crushing restrictions on American energy. Remarks… https://t.co/VBoEubD59k",,False,Wed Jun 28 22:32:47 +0000 2017,10111,880192282254872576
